CLIENTE;EMISSAO;DT.SAIDA;C.E.P.;UF;CEP.ENTR.;UFE
05019-5;25/03/2024;25/03/2024;02340-002;SP;02340-002;SP
05019-5;01/04/2024;01/04/2024;02340-002;SP;02340-002;SP
05019-5;01/04/2024;01/04/2024;02340-002;SP;02340-002;SP
05020-3;03/01/2024;03/01/2024;11030-011;SP;11030-011;SP
05020-3;17/01/2024;17/01/2024;11030-011;SP;11030-011;SP
05020-3;31/01/2024;31/01/2024;11030-011;SP;11030-011;SP
05020-3;28/02/2024;28/02/2024;11030-011;SP;11030-011;SP
05026-0;04/01/2024;04/01/2024;01239-040;SP;01239-040;SP
05026-0;05/01/2024;05/01/2024;01239-040;SP;01239-040;SP
05026-0;05/02/2024;05/02/2024;01239-040;SP;01239-040;SP
05026-0;07/02/2024;07/02/2024;01239-040;SP;01239-040;SP
05026-0;04/03/2024;04/03/2024;01239-040;SP;01239-040;SP
05026-0;21/03/2024;21/03/2024;01239-040;SP;01239-040;SP
05027-8;10/01/2024;10/01/2024;01411-001;SP;01411-001;SP
05027-8;07/02/2024;07/02/2024;01411-001;SP;01411-001;SP
05027-8;14/02/2024;14/02/2024;01411-001;SP;01411-001;SP
05027-8;26/02/2024;26/02/2024;01411-001;SP;01411-001;SP
05027-8;29/02/2024;29/02/2024;01411-001;SP;01411-001;SP
05027-8;29/02/2024;29/02/2024;01411-001;SP;01411-001;SP
05027-8;08/03/2024;08/03/2024;01411-001;SP;01411-001;SP
05027-8;21/03/2024;21/03/2024;01411-001;SP;01411-001;SP
05042-7;02/01/2024;02/01/2024;07080-000;SP;07080-000;SP
05042-7;24/01/2024;24/01/2024;07080-000;SP;07080-000;SP
05042-7;05/02/2024;05/02/2024;07080-000;SP;07080-000;SP
05042-7;21/02/2024;21/02/2024;07080-000;SP;07080-000;SP
05049-2;19/01/2024;19/01/2024;07600-024;SP;02340-002;SP
05049-2;31/01/2024;31/01/2024;07600-024;SP;02340-002;SP
05049-2;05/02/2024;05/02/2024;07600-024;SP;02340-002;SP
05049-2;19/02/2024;19/02/2024;07600-024;SP;02340-002;SP
05049-2;11/03/2024;11/03/2024;07600-024;SP;02340-002;SP
05049-2;18/03/2024;18/03/2024;07600-024;SP;02340-002;SP
05049-2;28/03/2024;28/03/2024;07600-024;SP;02340-002;SP
05063-3;24/01/2024;24/01/2024;01226-030;SP;01226-030;SP
05063-3;06/02/2024;06/02/2024;01226-030;SP;01226-030;SP
05063-3;20/03/2024;20/03/2024;01226-030;SP;01226-030;SP
05063-3;21/02/2024;21/02/2024;01226-030;SP;01226-030;SP
05066-6;14/02/2024;14/02/2024;07600-000;SP;07600-000;SP
05066-6;18/03/2024;18/03/2024;07600-000;SP;07600-000;SP
05067-4;31/01/2024;31/01/2024;02331-001;SP;02331-001;SP
05067-4;13/03/2024;13/03/2024;02331-001;SP;02331-001;SP
05068-2;09/02/2024;09/02/2024;08795-020;SP;08795-020;SP
05068-2;20/02/2024;20/02/2024;08795-020;SP;08795-020;SP
05068-2;29/02/2024;29/02/2024;08795-020;SP;08795-020;SP
05068-2;08/03/2024;08/03/2024;08795-020;SP;08795-020;SP
05129-2;18/01/2024;18/01/2024;05122-000;SP;05122-000;SP
05129-2;26/03/2024;26/03/2024;05122-000;SP;05122-000;SP
05143-3;24/01/2024;24/01/2024;13181-760;SP;13181-760;SP
05155-7;04/01/2024;04/01/2024;01506-010;SP;01506-010;SP
05155-7;25/01/2024;25/01/2024;01506-010;SP;01506-010;SP
05155-7;01/04/2024;01/04/2024;01506-010;SP;01506-010;SP
05174-8;20/02/2024;20/02/2024;18055-131;SP;18055-131;SP
05175-5;10/01/2024;10/01/2024;14020-290;SP;14020-290;SP
05188-8;17/01/2024;17/01/2024;07434-305;SP;07434-305;SP
05190-4;24/01/2024;24/01/2024;13339-125;SP;13339-125;SP
05190-4;20/03/2024;20/03/2024;13339-125;SP;13339-125;SP
05193-8;11/01/2024;11/01/2024;09613-000;SP;09613-000;SP
05193-8;27/03/2024;27/03/2024;09613-000;SP;09613-000;SP
05193-8;25/01/2024;25/01/2024;09613-000;SP;09613-000;SP
05193-8;31/01/2024;31/01/2024;09613-000;SP;09613-000;SP
05193-8;15/02/2024;15/02/2024;09613-000;SP;09613-000;SP
05193-8;05/03/2024;05/03/2024;09613-000;SP;09613-000;SP
05209-2;25/01/2024;25/01/2024;02017-030;SP;02017-030;SP
05212-6;25/01/2024;25/01/2024;08655-000;SP;08655-000;SP
05212-6;20/02/2024;20/02/2024;08655-000;SP;08655-000;SP
05226-6;05/02/2024;05/02/2024;13301-519;SP;13301-519;SP
05229-0;04/01/2024;04/01/2024;09726-410;SP;09726-410;SP
05229-0;11/01/2024;11/01/2024;09726-410;SP;09726-410;SP
05229-0;12/01/2024;12/01/2024;09726-410;SP;09726-410;SP
05229-0;08/02/2024;08/02/2024;09726-410;SP;09726-410;SP
05229-0;12/02/2024;12/02/2024;09726-410;SP;09726-410;SP
05229-0;14/03/2024;14/03/2024;09726-410;SP;09726-410;SP
05229-0;19/03/2024;19/03/2024;09726-410;SP;09726-410;SP
05231-6;29/01/2024;29/01/2024;12242-000;SP;12242-000;SP
05231-6;25/03/2024;25/03/2024;12242-000;SP;12242-000;SP
05244-9;10/01/2024;10/01/2024;13472-130;SP;13472-130;SP
05244-9;24/01/2024;24/01/2024;13472-130;SP;13472-130;SP
05244-9;07/02/2024;07/02/2024;13472-130;SP;13472-130;SP
05244-9;21/02/2024;21/02/2024;13472-130;SP;13472-130;SP
05244-9;06/03/2024;06/03/2024;13472-130;SP;13472-130;SP
05244-9;20/03/2024;20/03/2024;13472-130;SP;13472-130;SP
05275-3;29/01/2024;29/01/2024;12230-000;SP;12230-000;SP
05275-3;26/02/2024;26/02/2024;12230-000;SP;12230-000;SP
05275-3;25/03/2024;25/03/2024;12230-000;SP;12230-000;SP
05283-7;01/02/2024;01/02/2024;04661-200;SP;04661-200;SP
05298-5;24/01/2024;24/01/2024;01510-001;SP;01510-001;SP
05326-4;10/01/2024;10/01/2024;04806-000;SP;04806-000;SP
05326-4;08/02/2024;08/02/2024;04806-000;SP;04806-000;SP
05326-4;22/02/2024;22/02/2024;04806-000;SP;04806-000;SP
05326-4;08/03/2024;08/03/2024;04806-000;SP;04806-000;SP
05326-4;25/03/2024;25/03/2024;04806-000;SP;04806-000;SP
05332-2;10/01/2024;10/01/2024;13087-901;SP;13087-901;SP
05332-2;07/02/2024;07/02/2024;13087-901;SP;13087-901;SP
05332-2;20/03/2024;20/03/2024;13087-901;SP;13087-901;SP
05333-0;05/02/2024;05/02/2024;05417-030;SP;05417-030;SP
05351-2;12/03/2024;12/03/2024;14025-020;SP;14025-020;SP
05351-2;18/03/2024;18/03/2024;14025-020;SP;14025-020;SP
