CLIENTE;EMISSAO;DT.SAIDA;C.E.P.;UF;CEP.ENTR.;UFE
06124-2;14/03/2024;14/03/2024;06454-000;SP;06454-000;SP
06124-2;27/03/2024;27/03/2024;06454-000;SP;06454-000;SP
06131-7;01/02/2024;01/02/2024;13087-901;SP;13087-901;SP
06132-5;08/02/2024;08/02/2024;04551-000;SP;04551-000;SP
06139-0;25/01/2024;25/01/2024;01510-000;SP;01510-000;SP
06139-0;01/03/2024;01/03/2024;01510-000;SP;01510-000;SP
06139-0;22/02/2024;22/02/2024;01510-000;SP;01510-000;SP
06143-2;08/01/2024;08/01/2024;05145-000;SP;05145-000;SP
06143-2;11/03/2024;11/03/2024;05145-000;SP;05145-000;SP
06144-0;07/03/2024;07/03/2024;06020-010;SP;06020-010;SP
06156-4;08/02/2024;08/02/2024;04116-110;SP;04116-110;SP
06162-2;16/01/2024;16/01/2024;14027-250;SP;14027-250;SP
06171-3;12/01/2024;12/01/2024;04001-000;SP;04001-000;SP
06171-3;31/01/2024;31/01/2024;04001-000;SP;04001-000;SP
06171-3;06/02/2024;06/02/2024;04001-000;SP;04001-000;SP
06171-3;29/02/2024;29/02/2024;04001-000;SP;04001-000;SP
06171-3;12/03/2024;12/03/2024;04001-000;SP;04001-000;SP
06179-6;27/02/2024;27/02/2024;12245-710;SP;12245-710;SP
06180-4;08/01/2024;08/01/2024;01258-001;SP;01258-001;SP
06180-4;22/01/2024;22/01/2024;01258-001;SP;01258-001;SP
06180-4;07/02/2024;07/02/2024;01258-001;SP;01258-001;SP
06180-4;19/02/2024;19/02/2024;01258-001;SP;01258-001;SP
06180-4;06/03/2024;06/03/2024;01258-001;SP;01258-001;SP
06180-4;19/03/2024;19/03/2024;01258-001;SP;01258-001;SP
06180-4;20/03/2024;20/03/2024;01258-001;SP;01258-001;SP
06181-2;02/01/2024;02/01/2024;07097-420;SP;07097-420;SP
06181-2;11/03/2024;11/03/2024;07097-420;SP;07097-420;SP
06181-2;03/04/2024;03/04/2024;07097-420;SP;07097-420;SP
06183-8;23/01/2024;23/01/2024;03342-000;SP;03342-000;SP
06183-8;28/02/2024;28/02/2024;03342-000;SP;03342-000;SP
06183-8;12/03/2024;12/03/2024;03342-000;SP;03342-000;SP
06183-8;19/03/2024;19/03/2024;03342-000;SP;03342-000;SP
06185-3;18/01/2024;18/01/2024;02089-900;SP;02089-900;SP
06185-3;19/02/2024;19/02/2024;02089-900;SP;02089-900;SP
06185-3;05/03/2024;05/03/2024;02089-900;SP;02089-900;SP
06185-3;25/03/2024;25/03/2024;02089-900;SP;02089-900;SP
06187-9;08/01/2024;08/01/2024;05402-600;SP;05402-600;SP
06187-9;26/02/2024;26/02/2024;05402-600;SP;05402-600;SP
06188-7;16/02/2024;16/02/2024;04707-900;SP;04707-900;SP
06188-7;01/04/2024;01/04/2024;04707-900;SP;04707-900;SP
06189-5;03/01/2024;03/01/2024;05145-000;SP;05145-000;SP
06189-5;23/01/2024;23/01/2024;05145-000;SP;05145-000;SP
06189-5;07/02/2024;07/02/2024;05145-000;SP;05145-000;SP
06189-5;04/03/2024;04/03/2024;05145-000;SP;05145-000;SP
06192-9;08/02/2024;08/02/2024;01307-001;SP;01307-001;SP
06197-8;11/03/2024;11/03/2024;14026-900;SP;14026-900;SP
06203-4;09/01/2024;09/01/2024;15015-800;SP;15015-800;SP
06203-4;17/01/2024;17/01/2024;15015-800;SP;15015-800;SP
06203-4;05/02/2024;05/02/2024;15015-800;SP;15015-800;SP
06209-1;16/01/2024;16/01/2024;04260-000;SP;04260-000;SP
06209-1;19/03/2024;19/03/2024;04260-000;SP;04260-000;SP
06215-8;09/01/2024;09/01/2024;01506-020;SP;01506-020;SP
06215-8;11/01/2024;11/01/2024;01506-020;SP;01506-020;SP
06215-8;30/01/2024;30/01/2024;01506-020;SP;01506-020;SP
06216-6;15/02/2024;15/02/2024;08210-300;SP;08210-300;SP
06216-6;26/03/2024;26/03/2024;08210-300;SP;08210-300;SP
06221-6;10/01/2024;10/01/2024;04634-045;SP;04634-045;SP
06221-6;22/03/2024;22/03/2024;04634-045;SP;04634-045;SP
06222-4;24/01/2024;24/01/2024;13025-155;SP;13025-155;SP
06222-4;22/02/2024;22/02/2024;13025-155;SP;13025-155;SP
06222-4;20/03/2024;20/03/2024;13025-155;SP;13025-155;SP
06233-1;25/01/2024;25/01/2024;04707-000;SP;04707-000;SP
06233-1;22/03/2024;22/03/2024;04707-000;SP;04707-000;SP
06234-9;21/02/2024;21/02/2024;04661-200;SP;04661-200;SP
06235-6;22/02/2024;22/02/2024;03908-280;SP;03908-280;SP
06262-0;06/02/2024;06/02/2024;04144-000;SP;04144-000;SP
06262-0;05/03/2024;05/03/2024;04144-000;SP;04144-000;SP
06262-0;06/02/2024;06/02/2024;04144-000;SP;04144-000;SP
06262-0;05/03/2024;05/03/2024;04144-000;SP;04144-000;SP
06269-5;08/01/2024;08/01/2024;05593-000;SP;05593-000;SP
06271-1;08/01/2024;08/01/2024;05005-030;SP;05005-030;SP
06271-1;21/03/2024;21/03/2024;05005-030;SP;05005-030;SP
06274-5;05/02/2024;05/02/2024;15041-580;SP;15041-580;SP
06274-5;19/03/2024;19/03/2024;15041-580;SP;15041-580;SP
06280-2;30/01/2024;30/01/2024;03930-310;SP;03930-310;SP
06289-3;03/01/2024;03/01/2024;03126-000;SP;03126-000;SP
06289-3;09/01/2024;09/01/2024;03126-000;SP;03126-000;SP
06289-3;07/02/2024;07/02/2024;03126-000;SP;03126-000;SP
06322-2;20/02/2024;20/02/2024;03355-000;SP;03355-000;SP
06322-2;11/03/2024;11/03/2024;03355-000;SP;03355-000;SP
06322-2;28/03/2024;28/03/2024;03355-000;SP;03355-000;SP
06329-7;17/01/2024;17/01/2024;05136-001;SP;05136-001;SP
06329-7;29/01/2024;29/01/2024;05136-001;SP;05136-001;SP
06329-7;01/03/2024;01/03/2024;05136-001;SP;05136-001;SP
06329-7;22/03/2024;22/03/2024;05136-001;SP;05136-001;SP
06342-0;04/03/2024;04/03/2024;05503-000;SP;05503-000;SP
06342-0;25/03/2024;25/03/2024;05503-000;SP;05503-000;SP
06343-8;28/02/2024;28/02/2024;09220-570;SP;09220-570;SP
06343-8;28/02/2024;28/02/2024;09220-570;SP;09220-570;SP
06343-8;28/02/2024;28/02/2024;09220-570;SP;09220-570;SP
06343-8;19/03/2024;19/03/2024;09220-570;SP;09220-570;SP
06343-8;28/02/2024;28/02/2024;09220-570;SP;09220-570;SP
06345-3;26/03/2024;26/03/2024;14027-250;SP;14027-250;SP
06361-0;06/02/2024;06/02/2024;08620-000;SP;08620-000;SP
06365-1;03/01/2024;03/01/2024;01238-000;SP;01238-000;SP
06365-1;01/02/2024;01/02/2024;01238-000;SP;01238-000;SP
06365-1;08/02/2024;08/02/2024;01238-000;SP;01238-000;SP
06374-3;09/01/2024;09/01/2024;09190-210;SP;09190-210;SP
06374-3;16/01/2024;16/01/2024;09190-210;SP;09190-210;SP
06374-3;30/01/2024;30/01/2024;09190-210;SP;09190-210;SP
06374-3;16/02/2024;16/02/2024;09190-210;SP;09190-210;SP
06374-3;27/02/2024;27/02/2024;09190-210;SP;09190-210;SP
06374-3;11/03/2024;11/03/2024;09190-210;SP;09190-210;SP
06374-3;19/03/2024;19/03/2024;09190-210;SP;09190-210;SP
06374-3;26/03/2024;26/03/2024;09190-210;SP;09190-210;SP
06375-0;05/01/2024;05/01/2024;04551-090;SP;04551-090;SP
06375-0;31/01/2024;31/01/2024;04551-090;SP;04551-090;SP
06375-0;29/02/2024;29/02/2024;04551-090;SP;04551-090;SP
06375-0;25/03/2024;25/03/2024;04551-090;SP;04551-090;SP
06380-0;19/01/2024;19/01/2024;09790-000;SP;09790-000;SP
06380-0;15/03/2024;15/03/2024;09790-000;SP;09790-000;SP
06383-4;31/01/2024;31/01/2024;13184-280;SP;13184-280;SP
06383-4;22/02/2024;22/02/2024;13184-280;SP;13184-280;SP
06408-9;19/01/2024;19/01/2024;06018-090;SP;06018-090;SP
06408-9;09/02/2024;09/02/2024;06018-090;SP;06018-090;SP
06408-9;27/03/2024;27/03/2024;06018-090;SP;06018-090;SP
06409-7;01/02/2024;01/02/2024;03066-030;SP;03066-030;SP
06409-7;06/02/2024;06/02/2024;03066-030;SP;03066-030;SP
06409-7;20/02/2024;20/02/2024;03066-030;SP;03066-030;SP
06409-7;05/03/2024;05/03/2024;03066-030;SP;03066-030;SP
06409-7;21/03/2024;21/03/2024;03066-030;SP;03066-030;SP
06424-6;19/02/2024;19/02/2024;02925-140;SP;02925-140;SP
06424-6;04/03/2024;04/03/2024;02925-140;SP;02925-140;SP
06424-6;22/03/2024;22/03/2024;02925-140;SP;02925-140;SP
06436-0;05/02/2024;05/02/2024;04364-030;SP;04364-030;SP
06436-0;06/03/2024;06/03/2024;04364-030;SP;04364-030;SP
06439-4;06/02/2024;06/02/2024;09726-262;SP;09726-262;SP
06464-2;08/01/2024;08/01/2024;12515-310;SP;12515-310;SP
06464-2;01/03/2024;01/03/2024;12515-310;SP;12515-310;SP
06464-2;27/02/2024;27/02/2024;12515-310;SP;12515-310;SP
06464-2;26/03/2024;26/03/2024;12515-310;SP;12515-310;SP
06490-7;31/01/2024;31/01/2024;04542-011;SP;04542-011;SP
06490-7;20/03/2024;20/03/2024;04542-011;SP;04542-011;SP
06508-6;10/01/2024;10/01/2024;02377-000;SP;02377-000;SP
06508-6;29/01/2024;29/01/2024;02377-000;SP;02377-000;SP
06508-6;14/02/2024;14/02/2024;02377-000;SP;02377-000;SP
06508-6;12/03/2024;12/03/2024;02377-000;SP;02377-000;SP
06508-6;01/04/2024;01/04/2024;02377-000;SP;02377-000;SP
06522-7;24/01/2024;24/01/2024;13273-200;SP;13273-200;SP
06522-7;21/02/2024;21/02/2024;13273-200;SP;13273-200;SP
06529-2;07/02/2024;07/02/2024;13024-430;SP;13024-430;SP
06530-0;03/01/2024;03/01/2024;11436-000;SP;11436-000;SP
06530-0;03/01/2024;03/01/2024;11436-000;SP;11436-000;SP
06530-0;18/01/2024;18/01/2024;11436-000;SP;11436-000;SP
06530-0;19/02/2024;19/02/2024;11436-000;SP;11436-000;SP
06530-0;28/02/2024;28/02/2024;11436-000;SP;11436-000;SP
06530-0;13/03/2024;13/03/2024;11436-000;SP;11436-000;SP
06534-2;02/01/2024;02/01/2024;13010-142;SP;13010-142;SP
06534-2;06/03/2024;06/03/2024;13010-142;SP;13010-142;SP
06535-9;01/04/2024;01/04/2024;18095-450;SP;18095-450;SP
06539-1;11/01/2024;11/01/2024;07400-545;SP;07400-545;SP
06539-1;16/02/2024;16/02/2024;07400-545;SP;07400-545;SP
06539-1;19/03/2024;19/03/2024;07400-545;SP;07400-545;SP
06557-3;22/02/2024;22/02/2024;13092-902;SP;13092-902;SP
06566-4;08/01/2024;08/01/2024;05001-200;SP;05001-200;SP
06566-4;04/03/2024;04/03/2024;05001-200;SP;05001-200;SP
06574-8;10/01/2024;10/01/2024;07042-040;SP;07042-040;SP
06574-8;20/03/2024;20/03/2024;07042-040;SP;07042-040;SP
06574-8;21/02/2024;21/02/2024;07042-040;SP;07042-040;SP
06576-3;26/02/2024;26/02/2024;12216-580;SP;12216-580;SP
06598-7;19/02/2024;19/02/2024;02240-000;SP;02240-000;SP
06598-7;06/03/2024;06/03/2024;02240-000;SP;02240-000;SP
06598-7;21/03/2024;21/03/2024;02240-000;SP;02240-000;SP
06609-2;04/01/2024;04/01/2024;02022-010;SP;02022-010;SP
06609-2;22/01/2024;22/01/2024;02022-010;SP;02022-010;SP
06609-2;07/02/2024;07/02/2024;02022-010;SP;02022-010;SP
06609-2;26/02/2024;26/02/2024;02022-010;SP;02022-010;SP
06609-2;21/03/2024;21/03/2024;02022-010;SP;02022-010;SP
06609-2;25/03/2024;25/03/2024;02022-010;SP;02022-010;SP
06624-1;21/03/2024;21/03/2024;17380-000;SP;17380-000;SP
06634-0;12/02/2024;12/02/2024;08070-002;SP;08070-002;SP
06634-0;28/02/2024;28/02/2024;08070-002;SP;08070-002;SP
06634-0;04/03/2024;04/03/2024;08070-002;SP;08070-002;SP
06634-0;26/03/2024;26/03/2024;08070-002;SP;08070-002;SP
06640-7;03/01/2024;03/01/2024;02046-060;SP;02046-060;SP
06640-7;22/01/2024;22/01/2024;02046-060;SP;02046-060;SP
06640-7;26/02/2024;26/02/2024;02046-060;SP;02046-060;SP
06641-5;02/01/2024;02/01/2024;05650-002;SP;05650-002;SP
06641-5;26/01/2024;26/01/2024;05650-002;SP;05650-002;SP
06650-6;15/01/2024;15/01/2024;02710-001;SP;02710-001;SP
06650-6;07/03/2024;07/03/2024;02710-001;SP;02710-001;SP
06690-2;10/01/2024;10/01/2024;13060-811;SP;13060-811;SP
06690-2;24/01/2024;24/01/2024;13060-811;SP;13060-811;SP
06690-2;21/02/2024;21/02/2024;13060-811;SP;13060-811;SP
06690-2;20/03/2024;20/03/2024;13060-811;SP;13060-811;SP
06697-7;03/01/2024;03/01/2024;01226-001;SP;01226-001;SP
06713-2;12/01/2024;12/01/2024;05061-000;SP;05061-000;SP
06713-2;05/02/2024;05/02/2024;05061-000;SP;05061-000;SP
06713-2;27/02/2024;27/02/2024;05061-000;SP;05061-000;SP
06713-2;28/03/2024;28/03/2024;05061-000;SP;05061-000;SP
06725-6;15/01/2024;15/01/2024;04556-200;SP;04556-200;SP
06725-6;20/02/2024;20/02/2024;04556-200;SP;04556-200;SP
06725-6;20/03/2024;20/03/2024;04556-200;SP;04556-200;SP
06774-4;06/02/2024;06/02/2024;08210-100;SP;08210-100;SP
06778-5;26/01/2024;26/01/2024;06713-630;SP;06713-630;SP
06778-5;12/03/2024;12/03/2024;06713-630;SP;06713-630;SP
06783-5;23/01/2024;23/01/2024;08120-230;SP;08120-230;SP
06783-5;07/03/2024;07/03/2024;08120-230;SP;08120-230;SP
06784-3;29/01/2024;29/01/2024;02402-300;SP;02402-300;SP
06784-3;06/03/2024;06/03/2024;02402-300;SP;02402-300;SP
06784-3;13/03/2024;13/03/2024;02402-300;SP;02402-300;SP
06788-4;15/01/2024;15/01/2024;01503-010;SP;01503-010;SP
06788-4;03/01/2024;03/01/2024;01503-010;SP;01503-010;SP
06788-4;10/01/2024;10/01/2024;01503-010;SP;01503-010;SP
06788-4;16/01/2024;16/01/2024;01503-010;SP;01503-010;SP
06788-4;18/01/2024;18/01/2024;01503-010;SP;01503-010;SP
06788-4;24/01/2024;24/01/2024;01503-010;SP;01503-010;SP
06788-4;30/01/2024;30/01/2024;01503-010;SP;01503-010;SP
06788-4;08/02/2024;08/02/2024;01503-010;SP;01503-010;SP
06788-4;13/02/2024;13/02/2024;01503-010;SP;01503-010;SP
06788-4;05/03/2024;05/03/2024;01503-010;SP;01503-010;SP
06788-4;12/03/2024;12/03/2024;01503-010;SP;01503-010;SP
06788-4;20/03/2024;20/03/2024;01503-010;SP;01503-010;SP
06789-2;19/01/2024;19/01/2024;05002-000;SP;05002-000;SP
06789-2;22/02/2024;22/02/2024;05002-000;SP;05002-000;SP
06789-2;25/03/2024;25/03/2024;05002-000;SP;05002-000;SP
06795-9;27/02/2024;27/02/2024;04102-000;SP;04102-000;SP
06808-0;05/01/2024;05/01/2024;01309-011;SP;01309-011;SP
06808-0;01/02/2024;01/02/2024;01309-011;SP;01309-011;SP
06808-0;29/02/2024;29/02/2024;01309-011;SP;01309-011;SP
06808-0;26/03/2024;26/03/2024;01309-011;SP;01309-011;SP
06812-2;10/01/2024;10/01/2024;13170-275;SP;13170-275;SP
06812-2;07/02/2024;07/02/2024;13170-275;SP;13170-275;SP
06812-2;22/02/2024;22/02/2024;13170-275;SP;13170-275;SP
06814-8;02/01/2024;02/01/2024;03119-030;SP;03119-030;SP
06814-8;09/01/2024;09/01/2024;03119-030;SP;03119-030;SP
06814-8;23/01/2024;23/01/2024;03119-030;SP;03119-030;SP
06814-8;30/01/2024;30/01/2024;03119-030;SP;03119-030;SP
06814-8;06/02/2024;06/02/2024;03119-030;SP;03119-030;SP
06814-8;20/02/2024;20/02/2024;03119-030;SP;03119-030;SP
06814-8;27/02/2024;27/02/2024;03119-030;SP;03119-030;SP
06814-8;12/03/2024;12/03/2024;03119-030;SP;03119-030;SP
06814-8;26/03/2024;26/03/2024;03119-030;SP;03119-030;SP
06814-8;01/04/2024;01/04/2024;03119-030;SP;03119-030;SP
06817-1;19/01/2024;19/01/2024;13874-788;SP;13874-788;SP
06818-9;06/02/2024;06/02/2024;06803-000;SP;06803-000;SP
06823-9;26/02/2024;26/02/2024;06090-020;SP;06090-020;SP
06823-9;11/03/2024;11/03/2024;06090-020;SP;06090-020;SP
06834-6;03/01/2024;03/01/2024;11700-400;SP;11700-400;SP
06834-6;19/02/2024;19/02/2024;11700-400;SP;11700-400;SP
06834-6;28/02/2024;28/02/2024;11700-400;SP;11700-400;SP
06834-6;26/03/2024;26/03/2024;11700-400;SP;11700-400;SP
06844-5;05/03/2024;05/03/2024;05201-200;SP;01506-020;SP
06870-0;17/01/2024;17/01/2024;04542-051;SP;04542-051;SP
06870-0;13/03/2024;13/03/2024;04542-051;SP;04542-051;SP
06871-8;01/04/2024;01/04/2024;01503-010;SP;01503-010;SP
06874-2;03/01/2024;03/01/2024;02924-401;SP;02924-401;SP
06874-2;08/01/2024;08/01/2024;02924-401;SP;02924-401;SP
06874-2;09/01/2024;09/01/2024;02924-401;SP;02924-401;SP
06874-2;15/01/2024;15/01/2024;02924-401;SP;02924-401;SP
06874-2;22/01/2024;22/01/2024;02924-401;SP;02924-401;SP
06874-2;30/01/2024;30/01/2024;02924-401;SP;02924-401;SP
06874-2;05/02/2024;05/02/2024;02924-401;SP;02924-401;SP
06874-2;13/02/2024;13/02/2024;02924-401;SP;02924-401;SP
06874-2;19/02/2024;19/02/2024;02924-401;SP;02924-401;SP
06874-2;26/02/2024;26/02/2024;02924-401;SP;02924-401;SP
06874-2;04/03/2024;04/03/2024;02924-401;SP;02924-401;SP
06874-2;11/03/2024;11/03/2024;02924-401;SP;02924-401;SP
06874-2;18/03/2024;18/03/2024;02924-401;SP;02924-401;SP
06874-2;25/03/2024;25/03/2024;02924-401;SP;02924-401;SP
06874-2;01/04/2024;01/04/2024;02924-401;SP;02924-401;SP
06896-5;22/02/2024;22/02/2024;13024-050;SP;13024-050;SP
06904-7;20/02/2024;20/02/2024;08770-040;SP;08770-040;SP
06904-7;22/03/2024;22/03/2024;08770-040;SP;08770-040;SP
06927-8;27/02/2024;27/02/2024;01453-011;SP;01453-011;SP
06928-6;02/01/2024;02/01/2024;06768-200;SP;06768-200;SP
06928-6;24/01/2024;24/01/2024;06768-200;SP;06768-200;SP
06928-6;27/02/2024;27/02/2024;06768-200;SP;06768-200;SP
06928-6;26/03/2024;26/03/2024;06768-200;SP;06768-200;SP
06928-6;03/04/2024;03/04/2024;06768-200;SP;06768-200;SP
06931-0;29/02/2024;29/02/2024;02013-020;SP;02013-020;SP
06933-6;10/01/2024;10/01/2024;07114-000;SP;07114-000;SP
06933-6;24/01/2024;24/01/2024;07114-000;SP;07114-000;SP
06933-6;06/02/2024;06/02/2024;07114-000;SP;07114-000;SP
06933-6;07/03/2024;07/03/2024;07114-000;SP;07114-000;SP
06933-6;21/02/2024;21/02/2024;07114-000;SP;07114-000;SP
06939-3;22/01/2024;22/01/2024;04013-000;SP;04013-000;SP
06939-3;26/01/2024;26/01/2024;04013-000;SP;04013-000;SP
06939-3;06/02/2024;06/02/2024;04013-000;SP;04013-000;SP
06939-3;19/03/2024;19/03/2024;04013-000;SP;04013-000;SP
06943-5;11/03/2024;11/03/2024;05849-300;SP;05849-300;SP
06944-3;11/03/2024;11/03/2024;04505-002;SP;04505-002;SP
06959-1;21/02/2024;21/02/2024;74820-060;GO;05332-000;SP
06985-6;09/01/2024;09/01/2024;04005-010;SP;04005-010;SP
06985-6;18/01/2024;18/01/2024;04005-010;SP;04005-010;SP
06985-6;31/01/2024;31/01/2024;04005-010;SP;04005-010;SP
06985-6;20/02/2024;20/02/2024;04005-010;SP;04005-010;SP
06985-6;12/03/2024;12/03/2024;04005-010;SP;04005-010;SP
06986-4;22/02/2024;22/02/2024;05417-010;SP;05417-010;SP
06986-4;20/03/2024;20/03/2024;05417-010;SP;05417-010;SP
07013-6;18/01/2024;18/01/2024;04040-001;SP;04040-001;SP
07023-5;09/01/2024;09/01/2024;01310-000;SP;01310-000;SP
07023-5;26/01/2024;26/01/2024;01310-000;SP;01310-000;SP
07023-5;20/02/2024;20/02/2024;01310-000;SP;01310-000;SP
07023-5;04/03/2024;04/03/2024;01310-000;SP;01310-000;SP
07023-5;12/03/2024;12/03/2024;01310-000;SP;01310-000;SP
07035-9;06/03/2024;06/03/2024;18207-320;SP;18207-320;SP
07037-5;26/03/2024;26/03/2024;03403-001;SP;03403-001;SP
07046-6;09/01/2024;09/01/2024;06453-030;SP;06453-030;SP
07046-6;30/01/2024;30/01/2024;06453-030;SP;06453-030;SP
07046-6;15/02/2024;15/02/2024;06453-030;SP;06453-030;SP
07046-6;01/04/2024;01/04/2024;06453-030;SP;06453-030;SP
07048-2;15/01/2024;15/01/2024;07024-170;SP;07024-170;SP
07048-2;13/02/2024;13/02/2024;07024-170;SP;07024-170;SP
07048-2;07/03/2024;07/03/2024;07024-170;SP;07024-170;SP
07062-3;24/01/2024;24/01/2024;01489-900;SP;01489-900;SP
07062-3;04/03/2024;04/03/2024;01489-900;SP;01489-900;SP
07062-3;01/04/2024;01/04/2024;01489-900;SP;01489-900;SP
07073-0;08/01/2024;08/01/2024;02517-000;SP;02517-000;SP
07073-0;26/02/2024;26/02/2024;02517-000;SP;02517-000;SP
07075-5;03/01/2024;03/01/2024;08555-000;SP;08555-000;SP
07075-5;05/01/2024;05/01/2024;08555-000;SP;08555-000;SP
07075-5;09/01/2024;09/01/2024;08555-000;SP;08555-000;SP
07075-5;10/01/2024;10/01/2024;08555-000;SP;08555-000;SP
07075-5;11/01/2024;11/01/2024;08555-000;SP;08555-000;SP
07075-5;15/01/2024;15/01/2024;08555-000;SP;08555-000;SP
07075-5;18/01/2024;18/01/2024;08555-000;SP;08555-000;SP
07075-5;22/01/2024;22/01/2024;08555-000;SP;08555-000;SP
07075-5;24/01/2024;24/01/2024;08555-000;SP;08555-000;SP
07075-5;15/02/2024;15/02/2024;08555-000;SP;08555-000;SP
07075-5;02/02/2024;02/02/2024;08555-000;SP;08555-000;SP
07075-5;05/02/2024;05/02/2024;08555-000;SP;08555-000;SP
07075-5;08/02/2024;08/02/2024;08555-000;SP;08555-000;SP
07075-5;13/02/2024;13/02/2024;08555-000;SP;08555-000;SP
07075-5;15/02/2024;15/02/2024;08555-000;SP;08555-000;SP
07075-5;15/02/2024;15/02/2024;08555-000;SP;08555-000;SP
07075-5;19/02/2024;19/02/2024;08555-000;SP;08555-000;SP
07075-5;20/02/2024;20/02/2024;08555-000;SP;08555-000;SP
07075-5;20/02/2024;20/02/2024;08555-000;SP;08555-000;SP
07075-5;23/02/2024;23/02/2024;08555-000;SP;08555-000;SP
07075-5;01/03/2024;01/03/2024;08555-000;SP;08555-000;SP
07075-5;01/03/2024;01/03/2024;08555-000;SP;08555-000;SP
07075-5;04/03/2024;04/03/2024;08555-000;SP;08555-000;SP
07075-5;07/03/2024;07/03/2024;08555-000;SP;08555-000;SP
07075-5;08/03/2024;08/03/2024;08555-000;SP;08555-000;SP
07075-5;11/03/2024;11/03/2024;08555-000;SP;08555-000;SP
07075-5;15/03/2024;15/03/2024;08555-000;SP;08555-000;SP
07075-5;19/03/2024;19/03/2024;08555-000;SP;08555-000;SP
07075-5;21/03/2024;21/03/2024;08555-000;SP;08555-000;SP
07075-5;25/03/2024;25/03/2024;08555-000;SP;08555-000;SP
07075-5;25/03/2024;25/03/2024;08555-000;SP;08555-000;SP
07092-0;11/01/2024;11/01/2024;03870-100;SP;03870-100;SP
07092-0;30/01/2024;30/01/2024;03870-100;SP;03870-100;SP
07092-0;08/02/2024;08/02/2024;03870-100;SP;03870-100;SP
07092-0;16/02/2024;16/02/2024;03870-100;SP;03870-100;SP
07092-0;04/03/2024;04/03/2024;03870-100;SP;03870-100;SP
07092-0;12/03/2024;12/03/2024;03870-100;SP;03870-100;SP
07092-0;27/03/2024;27/03/2024;03870-100;SP;03870-100;SP
07103-5;17/01/2024;17/01/2024;04023-000;SP;04023-000;SP
07103-5;18/01/2024;18/01/2024;04023-000;SP;04023-000;SP
07103-5;18/01/2024;18/01/2024;04023-000;SP;04023-000;SP
07103-5;22/02/2024;22/02/2024;04023-000;SP;04023-000;SP
07103-5;27/02/2024;27/02/2024;04023-000;SP;04023-000;SP
07103-5;07/03/2024;07/03/2024;04023-000;SP;04023-000;SP
07103-5;22/03/2024;22/03/2024;04023-000;SP;04023-000;SP
07103-5;25/03/2024;25/03/2024;04023-000;SP;04023-000;SP
07103-5;26/03/2024;26/03/2024;04023-000;SP;04023-000;SP
07103-5;03/04/2024;03/04/2024;04023-000;SP;04023-000;SP
07116-7;31/01/2024;31/01/2024;11025-200;SP;11025-200;SP
07116-7;28/02/2024;28/02/2024;11025-200;SP;11025-200;SP
07116-7;28/02/2024;28/02/2024;11025-200;SP;11025-200;SP
07116-7;01/03/2024;01/03/2024;11025-200;SP;11025-200;SP
07123-3;08/01/2024;08/01/2024;06023-050;SP;06023-050;SP
07123-3;01/04/2024;01/04/2024;06023-050;SP;06023-050;SP
07142-3;20/03/2024;20/03/2024;05595-000;SP;05595-000;SP
07142-3;23/01/2024;23/01/2024;05595-000;SP;05595-000;SP
07142-3;07/02/2024;07/02/2024;05595-000;SP;05595-000;SP
07142-3;07/03/2024;07/03/2024;05595-000;SP;05595-000;SP
07154-8;09/01/2024;09/01/2024;03410-030;SP;03410-030;SP
07154-8;02/02/2024;02/02/2024;03410-030;SP;03410-030;SP
07154-8;20/02/2024;20/02/2024;03410-030;SP;03410-030;SP
07154-8;04/03/2024;04/03/2024;03410-030;SP;03410-030;SP
07158-9;03/01/2024;03/01/2024;08780-220;SP;08780-220;SP
07158-9;12/01/2024;12/01/2024;08780-220;SP;08780-220;SP
07158-9;19/01/2024;19/01/2024;08780-220;SP;08780-220;SP
07158-9;26/01/2024;26/01/2024;08780-220;SP;08780-220;SP
07158-9;02/02/2024;02/02/2024;08780-220;SP;08780-220;SP
07158-9;09/02/2024;09/02/2024;08780-220;SP;08780-220;SP
07158-9;09/02/2024;09/02/2024;08780-220;SP;08780-220;SP
07158-9;14/02/2024;14/02/2024;08780-220;SP;08780-220;SP
07158-9;16/02/2024;16/02/2024;08780-220;SP;08780-220;SP
07158-9;23/02/2024;23/02/2024;08780-220;SP;08780-220;SP
07158-9;01/03/2024;01/03/2024;08780-220;SP;08780-220;SP
07158-9;08/03/2024;08/03/2024;08780-220;SP;08780-220;SP
07158-9;15/03/2024;15/03/2024;08780-220;SP;08780-220;SP
07158-9;22/03/2024;22/03/2024;08780-220;SP;08780-220;SP
07158-9;28/03/2024;28/03/2024;08780-220;SP;08780-220;SP
07162-1;19/03/2024;19/03/2024;06454-010;SP;06454-010;SP
07162-1;30/01/2024;30/01/2024;06454-010;SP;06454-010;SP
07162-1;13/03/2024;13/03/2024;06454-010;SP;06454-010;SP
07172-0;09/02/2024;09/02/2024;04517-001;SP;04517-001;SP
07183-7;07/02/2024;07/02/2024;13083-897;SP;13083-897;SP
07193-6;02/01/2024;02/01/2024;04085-000;SP;04085-000;SP
07193-6;08/01/2024;08/01/2024;04085-000;SP;04085-000;SP
07193-6;15/01/2024;15/01/2024;04085-000;SP;04085-000;SP
07193-6;22/01/2024;22/01/2024;04085-000;SP;04085-000;SP
07193-6;29/01/2024;29/01/2024;04085-000;SP;04085-000;SP
07193-6;21/02/2024;21/02/2024;04085-000;SP;04085-000;SP
